@relation 'Reviews'
@attribute Text string
@attribute class-att {0,1}
@data
'great choice',1
'nice docking station home work',1
'this beautiful phone',1
'love product',1
'do not buy d807wrongly advertised d807',0
'this great little item',1
'i love phone  it handy lot features ',1
'i purchased within 2 days longer working',0
'i wear everyday holds well',1
'not good bargain',0
'well packaged arrived time works intended',1
'the battery runs quickly',0
'this item worked great broke 6 months use',0
'the headsets easy use everyone loves them',1
'this phone works great',1
'the construction headsets poor',0
'product excellent works better verizon one boy cheaper',1
'the phone loads super',1
'for product costs much one does i expect work far better greater ease thing does',0
'made sturdy',1
'worked great',1
'the ear buds play music one ear',0
'dont waste money',0
'will order again',1
'if plan use car forget it',0
'i found product waaay big',0
'best ive found far  ive tried 2 bluetooths one best quality for listener well ease using',1
'im disappointed decision',0
'integrated seamlessly motorola razr phone',1
'buyer beware could flush money right toilet',0
'definitely bargain',1
'the price good free shipping good purchase',1
'i received supposedly new motorola 375 apparently match phone charger',0
'prosgood camera  nice pictures  also cool styles like black white more',1
'thats huge design flaw unless im using correctly i think case',0
'i love 350 headset my jabra350 bluetooth headset great reception good ear piece comfortable fit',1
'the camera although rated impressive 13 megapixels renders images fall well expectations relatively high resolution',0
'i purcashed car charger work',0
'sound quality end excellent i use headset call wife ask wife use headset call 2',1
'this phone slim light display beautiful',1
'little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case',1
'great product fast shipping',1
'absolutely great',1
'the keyboard nice compromise full qwerty basic cell phone number keypad',1
'got phone around end may im completely unhappy it',0
'it comfortable ear',1
'it winner us',1
'setup simpler',1
'ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably',1
'could get strong enough signal',0
'iam pleased purchase',1
'bad quality',0
'gets job done',1
'great audio',1
'basically service bad',0
'work cell phone plug set charger',0
'ive bluetooth weeks i really like it',1
'the bt headset disapoinment',0
'it small even realize getting used it',1
'the accompanied software almost brilliant',1
'headset works great  packaged nicely avoid damage',1
'i definitly recommend',1
'buyerbe very careful',0
'the majority logitech earbud headsets failed',0
'very good stuff price',1
'my headset works peachykeen',1
'in house i getting dropped coverage upstairs coverage basement',0
'voice recognition tremendous',1
'what waste',0
'during several different 2 minute calls i experienced 5 drops area 5 bars',0
'i happy item',0
'disappointed',0
'the phone takes forever charge like 2 5 hours literally',0
'i got phone reccomendation relative im glad i did',1
'what waste time',0
'its reception poor',0
'items stated included description are not included',0
'after 3 months screen went black sudden',0
'i was hoping more',0
'audio quality poor poor',0
'i absolutely problem headset linking 8530 blackberry curve',1
'i know sounds funny seemed like sketchy technology work wellwell one works great',1
'ive bought 5 wired headphones sound better these',0
'this phone fast sending kind messages web browsing significantly faster previous phones used',1
'nice quality build unlike cheap s there',1
'this item fantastic works perfectly',1
'and i love colors',1
'w810i superb',1
'all i whine internet goesthe i use thing less i like it',0
'great charger',1
'this essentially communications tool communicate',0
'works like charm work one i got phone',1
'i still maintain monkeys make headphones obviously share enough dna copy design humans',0
'great value',1
'doesnt work all i bougth l7c working',0
'the look sharp screen nice clear great graphics',1
'last long',0
'one thing i hate mode set button side',0
'excellent service',1
'thank wasting money',0
'how bethe audio quality poor',0
'the igo chargers tips really great',1
'the file browser offers options one needshandsfree great',1
'superb phone great network',1
'i connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case',1
'i put latest os v115g likes slow crawl lock every while',0
'it recognizes phone storage device',0
'if like loud buzzing override conversations phone you',0
'dont buy product',0
'ive bluetoooth headset time still comfortable way fits ear',0
'the sound quality good functionality awesome',1
'i phone thorn side i really abhor it',0
'i recently problems i could stay connected 10 minutes disconnected',0
'incredible',1
'design flaw',0
'great phone',1
'waste 13 bucks',0
'but i check voice mail night keypad backlight turns seconds first message im lost',0
'the replacement died weeks',0
'any ring toneoverall good phone buy',1
'lately extremely nice helpful phone',1
'i problems wit hit dropping signal more',0
'not impressed',0
'light weight i hardly notice there',1
'youll love thin is',1
'bad choice',0
'the pleather case fit',0
'useless phone simply deaf',0
'the color even prettier i thought would be graphics incredibly sharp',1
'all i think good investment',1
'it makes strange ticking noises ends call',0
'the best electronics available fm transmitters',1
'battery lasts hours',0
'great headset impressed  h500',1
'the 12 mega pixel camera part phone reasonably good7',1
'ive nearly 2 years worked great me',1
'good transmit audio',1
'we sending back',0
'i bother contacting company dollar product i learned lesson i bought form online anyway',0
'if hate earbugs avoid phone means',0
'great price also',1
'the range decent ive able roam around house phone living room receptionsound quality issues',1
'fast service',1
'i would highly recommend this',1
'i would recommend this',1
'i also like on button felt like would crack use',0
'worst phone ever',0
'im still infatuated phone',1
'freezes frequently4',0
'its kind embarrassing use looks mostly embarrassing childlike company is',0
'simple lightweight great fit',1
'all all id expected better consumer experience motorola',0
'theres horrible tick sound background calls i never experienced before',0
'these certainly comfortable functionality decent',1
'i usually like headbands one lightweight  mess hair',1
'im bit disappointed',0
'i phone year now i tell you great',0
'i ordered sony ericsson w810i i think worked thats i first used it',0
'the battery completely useless me',0
'what big waste time',0
'dont waste  one',0
'great sound service',1
'really pleased product far',1
'one favorite purchases ever',1
'best bluetooth market',1
'authentic leather nice shine comfort i recommend case ',1
'i excited get headset i thought really cute',1
'do make mistake me',0
'big disappointment calendar sync',0
'phone unusable new',0
'worst customer service ever',0
'no additional ear gels provided instructions whatsoever',0
'it defeats purpose bluetooth headset',0
'worth every penny',1
'excellent wallet type phone case',1
'nice headphones price work great',1
'internet excrutiatingly slow',0
'it comfortable wear well probably important aspect using case',1
'its fits like glove strong secure durable',1
'o gosh best phone i ever had',1
'its attractive appears good quality',1
'i love features form factor',1
'this product strong rubberpetroleum smell unbearable caused return',0
'poor quality service',0
'the cable looks thin flimsy scary',0
'great earpiece',1
'excellent hands free tool',1
'great using home stereo',1
'good product  incredible value',1
'only month worked flawlessly far',1
'works great',1
'absolutel junk',0
'that one work either',0
'battery life real good',1
'returned 8 hours later',0
'its great item',1
'dont waste money',0
'love headset',1
'not drain player may also potentially fry it',0
'worked perfectly',1
'unreliable  im giving up',0
'i gave 5 stars sound quality',1
'avoid one can',0
'reversible plug works great',1
'i wasted little money earpiece',0
'very good phone',1
'best rotating feature helpful',1
'comfort whole family',1
'good product good seller',1
'i love bluetooth',1
'first all wear well',0
'i impressed headset plantronics',1
'i got small adorable',1
'great phone',1
'i recommend buying product',0
'piece junk',0
'poorly contstruct hinge',0
'this item great installed it let charged overnite working good every since problems',1
'great phone',1
'dont buy it',0
'excellent phone',1
'do not purchase this phone',0
'the voice recognition thru handset excellent',1
'this hands best phone ive ever had',1
'works great cat attacked phone scratched protective strip instead destroying screen',1
'this one works priced right',1
'customer service terrible',0
'battery life still long enough motorola razor v3i',0
'sending back',0
'now i know i made wise decision',1
'someone shouldve invented sooner',1
'good price',1
'everything worked first trythe device certainly engineered clever way construction feels good',1
'i received quickly works great',1
'has working great',1
'as many people complained i found headsets microphone weak',0
'my 5year old nokia 2160 tracfone holds charge lot better this',0
'they care consumer one bit',0
'this good battery got really fast',1
'the instruction manual lacking',0
'also slim enough fit alarm clock docking station without removing case',1
'phone holds charge like new',1
'the battery unreliable well service use antena',0
'its uncomfortable sound quality quite poor compared phone razr previous wired headset that plugged lg',0
'we gotten lot compliments it',1
'this definitely must state allow cell phone usage driving',1
'i want money back',0
'i love device',1
'i also happy price',1
'i ordered product first unhappy immediately',0
'the ngage still lacking earbuds',0
'i able voice dialing car problem',1
'i 23 bars cell phone i home cant hear anything',0
'good item low price',1
'howeverthe riingtones best neither games',0
'the plug work well',0
'amazon sucks',0
'rip off over charge shipping',0
'very comfortable',1
'the battery working well replacement original came phone 2 years ago',1
'the reception excellent',1
'it fits comfortably either ear sound clear loud charge lasts couple days',1
'clear quality sound mess sound ipod since sound buttons headset',1
'1 long lasting battery you recharge frequentyly flip phones2',0
'obviously problem adhesive',0
'very disappointing',0
'it inexpensive piece i would still expected better quality',0
'it practically useless add kind boost reception i bought it',0
'excellent sound quality',1
'was happy',0
'a piece of junk that broke after being on my phone for 2 days',0
'new battery works great phone',1
'worst customer service',0
'ive dropped phone times i say even concrete phone still great knock wood',1
'reception terrible full static',0
'good audio quality',1
'this little device transformed organizational capability made life whole lot easier',1
'i sitting vehicle cradle belt headset lost signal',0
'were jerks phone',0
'works like charm works advertised',1
'comfortable nice range good battery life',1
'their network coverage los angeles horrible',0
'excellent starter wireless headset',0
'the loudspeaker option great bumpers lights  appealing',0
'the thing i think could improve sound leaks headset',0
'first reception sucks i never 2 bars ever',0
'the phone gets extremely hot',0
'the microphone also works well according people i called applifies everything',1
'nice design quality',1
'also phone dropped case going save it specially dropped face down',0
'it light easy use clear reception transmission',1
'bad fit way big',0
'it definitely good s11',1
'awesome device',1
'waste money',0
'i ordered motorola data cable got well finished working product',1
'love this phone',1
'i looking headset long time ive got i happier',1
'ill drivng along headset starts ringing reason',0
'display excellent camera good year',1
'battery life also great',1
'the worst phone ive ever had only months',0
'not good item it worked started problems auto reverse tape player',0
'this embarassing also ears hurt i try push ear plug ear',0
'protects phone sides',1
'this very average phone bad battery life operates weak network',0
'clear skype calls long battery life long range',1
'soyo technology sucks',0
'great hands free device',1
'even take self portraits outside exterior display cool',1
'same problem others mentioned',0
'after trying many many handsfree gadgets one finally works well',1
'magical help',1
'the worst piece crap ever along verizon customer service',0
'poor sound quality',0
'the best phone market ',1
'it worked well',1
'the company shipped product promptly works well',1
'exactly i wanted',1
'the picture resolution far comparablypriced phones offering today',0
'this great deal',1
'excellent product i satisfied purchase',1
'i highly recommend encourage people give try',1
'better expect',1
'using earpieces left right thing stay ear',0
'great product price',1
'sounds good reasonably priced effective its simple ',1
'still waiting im sure item would work well i ever recieve it',0
'disappointment',0
'very prompt service',1
'excellent product price',1
'very pleased headset',1
'waste money time',0
'i especially love long battery life',1
'its stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes out',0
'works great',1
'plantronics bluetooth excelent buy',1
'i came verizon cingulair nicer cell phones first thing i noticed really bad service',0
'ill looking new earpiece',0
'i highly recommend device everyone',1
'jawbone era awesome too',1
'we received white colored battery goes dead couple hoursthe original used last week  still lasts longer thereplacement',0
'after year battery went completely dead headset',0
'i used several phone two years one best',1
'an awesome new look for fall 2000',1
'this first phone ive cheaply made',0
'att clear sound distorted yell talk',0
'the plastic breaks really easy clip',0
'price good too',1
'dont make mistake i did',0
'oh i forgot also mention weird color effect phone',0
'im using iriver spinn with case fits fine',1
'also area unit broke im fond magnetic strap',0
'overall i psyched phone appointments contacts gets great reception',1
'every thing phone work perfectly like it',1
'another note phones appearance really looks rather bland especially black model',0
'its really easy',1
'my sanyo survived dozens drops blacktop without ill effect',1
'fantastic earphones',1
'it finds cell phone right away i enter car',1
'low quality',0
'i highly recommend modest priced cellular phone',1
'but get better reception clarity phone ive before',1
'warning  stay away',0
'i wish i could return unit get back money',0
'awsome device works great',1
'i used talk 1  1 12 hours battery would literally drained dying',0
'if find it bad unit comes one earpad onlyi would recommend anyone',0
'very displeased',0
'i might gotten defect i would risk buying built quality alone',0
'they made case small difficult install',0
'restored phone like new performance',1
'i would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure',1
'i searched internet found one best value',1
'does fit',0
'very happy product',1
'the screen size big key pad lit well enough camera quality excellent camera phone',1
'theres really nothing bad i say headset',0
'im glad found product amazon hard find high priced',1
'portable works',1
'my colleague  i get great receptiona little expensive performance great',1
'i even fully charged i went bed turned blue tooth wifi noticed 20  left morning',0
'ive also problems phone reading memory card i always turn again',0
'not good wearing hat sunglasses',0
'timely shipment quality product',1
'nice solid keyboard',1
'very well made fits surefire gx2 perfectly',1
'horrible phone',0
'bt50 battery junk',0
'we would recommend others',1
'cant get software work computer',0
'disappointed',0
'poor voice clarity',0
'the battery works great',1
'no buyers remorse one',0
'very disappointed accessoryone',0
'i find inexcusable probably returning phone perhaps changing carriers',0
'looks great strong',1
'i tmobile service 2 3 years now i pretty happy it',1
'the update procedure difficult cumbersome',0
'disappointment i hate anything goes ear',0
'great software motorolas',1
'the delivery time',1
'very easy use',1
'uncomfortable in ear dont use lg vx9900 env',0
'the volume switch rocketed unit destination unknown',0
'it holds charge long time reasonably comfortable longwearing conditions quality sound tremendous',1
'id like return it',0
'the keyboard really worthwhile usefulness sturdy enough i expect problems',1
'verizons bills however difficult understand even though pricing plans simple',0
'after charging overnight batteries work great',1
'you regret it',1
'i love phone',1
'a disappointment',0
'its user friendly',0
'unfortunately ability actually know receiving call rather important feature phone pitiful respect',0
'then i exchanged phone even problem',0
'this results phone either stuck max volume mute',0
'this pda rocks',1
'it super charged use small hybrid palmtopcameracellphone excels roles',1
'i would definitely recommend jabra bt250v looking comfort clarity great price',1
'i verizon 2 years ago really liked service',1
'pretty piece junk',0
'plug wrong size',0
'works described',1
'save money ive item 11 months now',0
'bad purchase',0
'well im satisfied',1
'the bose noise cancelling amazing important nyc commuter',1
'this battery excellent bargain',1
'defective crap',0
'i would given star i able',0
'i wear glasses fits fine them',1
'the sound quality device unacceptableunless really quiet area almost hear nothing',0
'i would recommend item anyone',0
'the holster arrived match photo ad',0
'greatno problems all',1
'as earlier review noted plug charger nothing happens',0
'this frog phone charm adorable eye catching',1
'you never know pushed hard enough right number times function want not',0
'the sound clear people i talk amazed quality too',1
'i got aluminum case new palm vx worked really wellit protected handheld perfectly far',1
'good product well made',1
'mobile phone tools must have',1
'i impressed job motorola sturdiness phone',1
'i received orders well within shipping timeframe everything good working order overall i excited source',1
'the phone sturdy waterproof',1
'i impressed would recommend item anyone',0
'my complaint standard sound volume little low even turned 5of 5',0
'thanks amazon things i need good price',1
'i ended sliding edge pants back pockets instead',1
'i go store bought new nokia phone working great',1
'works great',1
'really ugly',0
'horrible switch 3 times',0
'the noise shield incrediable',1
'no real improvement',0
'razr battery  good buy',1
'keep good work amazon',1
'they refuse refund replace',0
'unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening',0
'so i basically threw money window nothing',0
'great case price',1
'all took one drop 6 inches kitchen counter crackedi impressed i laughing',0
'bluetooth range good  days ago i left phone trunk got call carried conversation without hitch',1
'small sleek impressive looking practical setup ample storage place',1
'the eargels channel sound directly ear seem increase sound volume clarity',1
'none new ones ever quite worked properly',0
'i glad i purchased it',1
'ive missed numerous calls reason',0
'perhaps phone defective people cannot hear i use this',0
'dont buy product',0
'sucked stuff work phone',0
'no shifting bubbling peeling even scratch nothingi happier new one droid',1
'worst software ever used if i could give zero stars i would',0
'trying make call exercise frustration',0
'the case flimsy piece plastic front side protection whatsoever',0
'i jabra earset happy it sound quality especially outgoing better',1
'i love camera really pretty good quality',1
'thank great service',1
'its total package',1
'the seller understanding patient i would definitely buy again',1
'i give wirefly 1 stari contact cingularatt inform practice',0
'its aggravating',0
'great product price',1
'i purchased family friends enjoy clarity ease use',1
'virgin wireless rocks cheap little phone',1
'none works buy it',0
'muddy low quality sound casing around wires insert poorly super glued slid off',0
'please dont waste money',0
'all all im quite satisfied purchase',1
'if looking good quality motorola headset keep looking it',0
'yet plantronincs continues use flawed charger design',0
'disapointing results',0
'cumbersome design',0
'great new packaged nice works good problems came less time i expected',1
'great product',1
'its a piece of crap',0
'my experience terrible this fourth bluetooth headset much comfortable last jabra which i hated',0
'this fixes problems',1
'worst ever',0
'i happy',1
'ive trouble accessing internet downloading ringtones performing functions',1
'i barely ever hear constantly saying what',0
'the battery life highly unacceptable',0
'that company joke',0
'it everything description said would',1
'due happening every call i forced stop using headset',0
'it works great car charger especially cannot plug two adapters time',1
'verizon tech support walked procedures none worked i ended hard reset wiping data',0
'voice quality signal strength dropped calls',0
'it plays louder speaker size price low would think quality lacking however not',1
'better expected',1
'it feels poorly constructed menus difficult navigate buttons recessed difficult push them',0
'battery holding well',1
'also difficult put onid recommend avoiding product',0
'i used two days always easy hear with',0
'i got car charger even week charger brokeni went plug started smoking',0
'sprint  terrible customer service',0
'linked phone without effort',1
'they cool',1
'easy use',1
'better than new',1
'what possesed get junk i idea',0
'piece trash',0
'a pretty good product',1
'this great phone',1
'for price amazon excellent product i would highly recommend',1
'their research development division obviously knows theyre doing',1
'the real killer volume course breaking',0
'those phones working fine now',1
'i happy product',1
'poor construction',0
'this infuriating',0
'overall i would recommend phone new walkman',1
'sprint charges service',0
'it cheap feel look cheap',0
'it fits ear well comfortable on',1
'it work europe asia',0
'clipping belt deffinitely make feel like 50 cents upandcoming',1
'i like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear',1
'i amazed quick arrival two original lg cell phone batteries fraction price',1
'worst phone samsungcrap crappy samsung e715 worst ever seeen',0
'charger worked week completely stopped charging phone',0
'poor product',0
'however i needed better instructions',0
'you need two hands operate screenthis software interface decade old cannot compete new software designs',0
'worked well paired treo 700w skype headset pc using usb bluetooth transceiver',1
'steer clear product go genuine palm replacementr pens come threepack',0
'do not buy do not buyit sucks',0
'this great product sure beats using fingers',1
'plus i seriously believe worth steep price point',0
'all cases ive tried normally fall apart months one seems long haul',1
'very dissapointing performance',0
'dont make mistake i please buy phone',0
'this phone might well worst ive ever brand',0
'case less extra i originally put later discarded scratched ear',0
'i recommend igo anyone different brand cell phonesmp3 players family',1
'dont bother  go store',0
'i posted detailed comments grey black phone fire red great color',1
'i problem item would order needed',1
'you get pay i guess',0
'not software great job this i could also make ringtones form existing cds without internet connection',1
'im surprised good quality car charger theres much reviews it',1
'these fabulous',1
'however bt headsets currently good real time games like firstperson shooters since audio delay messes up',0
'i used bitpim a free program find internetto transfer data phonethe price cable excellent',1
'disappointing accessory good manufacturer',0
'performed awful  muffled tinny incoming sound severe echo end call',0
'very windresistant',1
'obviously terrible customer service get pay for',0
'they last forever overly expensive replaceeasy operate sound much better others i tried',1
'i contacted company told that although unit still warranty i produce receipt i luck',0
'linksys way exchange bad phone refurb unit something',0
'phone sturdy nokia bar phones are',1
'great phone',1
'when i placed treo case not snug a lot extra room sides',0
'im pleased',1
'battery terrible',0
'i found product easy set use',1
'the earpiece large heavyit keeps falling ear',0
'utter crap sound quality terrible',0
'the charger arrived within promised timeframe work',0
'no ear loop needed tiny sound great',1
'finally three four times spring latch broke i could use longer visor',0
'the handsfree part works fine car tries download address book treo rebootsoverall i still rate device high',1
'talk useless customer service',0
'it felt light tinny',0
'this fit palm tungsten e2 broke first time i tried plug in',0
'im happy purchase good quality low price',1
'i love look feel samsung flipphones',1
'its welldesigned sharp  blue nice color',1
'does everything more',1
'i could recommend more',0
'nice sound',1
'looks good picture case huge disappointment',0
'much less jawbone i going replace with',1
'setup went smoothly',1
'extremely slow takes forever anything it',0
'a must study anyone interested worst sins industrial design',0
'the first thing happened tracking off',0
'it well made easy access phone handy detachable belt clip',1
'then i continue pairing periodically since somehow kept dropping',0
'cant upload ringtones third party',0
'bluetooth work phone locks up screens flash makes calls randomly pocket locked',0
'truly awful',0
'it works fine motorola 325 cellphone lot better wornout battery did',1
'the volume ringer real good you choices loud',1
'and none tones acceptable',0
'camera color balance awful',0
'this product clearly ready prime time i care cool looks cant tell call coming worthless',0
'i love ringtones upbeat',1
'chinese forgeries abound',0
'easy pair samsung cell',1
'the instructions explain microphone jack could used',0
'would advise purchase item never worked well',0
'too bad pay  month service',0
'works well',1
'the nokia ca42 usb cable work phone',0
'clear crisp sound',1
'i use smallest earpieces provided stays pretty well',1
'the biggest complaint i is battery drains superfast',0
'the design might ergonomic theory i could stand ear',0
'do not buy want use holster',0
'the phone also take great pictures even video clips',1
'it make look cool',0
'because ears occupied background distracting all',1
'comfortable fit  need headset comfortable least hour time entire day',1
'also phone seem accept anything except cbr mp3s preferably ripped windows media player',0
'you cant beat price these',1
' comes strong light use light camera shots even flash sos signals seriously',1
'lightweight works well',1
'so beware',0
'i love cable  allows connect miniusb device pc',1
'so anyone near hear part conversation',0
'this cool cases open allowing screen get scratched up',1
'i bought phone replacement startac regretted since',0
'appears actually outperform original battery china came v325i',1
'cant store anything phone numbers sim',0
'it lasts less 3o minutes i actually try use phonemy wife phone problem',0
'poor quality',0
'jabra ear gels r best',1
'not worth it',0
'the phone crashed completely i get replaced',0
'it quit working id used 18 months i purchased another one best headset ive ever owned',1
'unfortunately recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc',0
'it great phone',1
'simply want small flip phone  look elsewhere extra bells  whistles mediocre',0
'good value works fine  power via usb car wall outlet',1
'my phone slide around car grip prevents phone slipping hand',1
'this simply best bluetooth headset sound quality',1
'think plan onethis sure last moto phone me',0
'in span hour i two people exclaim whoa  new phone tv',1
'i always used corded headsets freedom wireless helpful',1
'this case passed one year mark shows signs wear 100 functional',1
'other that leather nice soft fit tight cut face good shape',1
'it everything i need i ask more',1
'after receiving using product 2 days broke',0
'this product great makes working lot easier i go copier waiting hold something',1
'none three sizes sent headset would stay ears',0
'tmobile best customer service anywhere',1
'arrived quickly much less expensive others sold',1
'we tried 2 units failed within 2 months pros',0
'provides good protection looks classy too',1
'krussel always good',1
'the tracfonewebsite user friendly makes easy toactivate etc',1
'the design good4',1
'i great reception time',1
'i would highly recommend product',1
'couldnt use unit sunglasses good texas',0
'it dit work time nokia 5320',0
'bought mainly charger broke soon purchasing',0
'if like loud buzzing override conversations phone you',0
'fantastic buy get whatever next phone',1
'stay away store careful',0
'this blueant supertooth handsfree phone speaker awesome',1
'does fit',0
' item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs',1
'it light plenty battery capacity confortable wear somewhat extended periods time',1
'disappointing',0
'blue ant easy use',1
'cheap hey works was pleasantly suprised given low cost item',1
'the camera phone may used dustpan indoors id rather using disposable this',0
'then days later puff smoke came phone use',0
'its convenient simple use  gets job done  makes car ride much smoother',1
'the nano stated itmy son dissapointed',0
'the sound quality excellent well',1
'its best headset i used',1
'would reccommend',0
'they around years carries highest quality antiglare screen protector i found date',1
'just i wanted',1
'this particular model would work motorola q smartphone',0
'wont work right atleast me',0
'addition feels amp looks phone lightweight cheap plastic',0
'but out warranty problems reoccurebottom line put money somewhere else cingular support it',0
'i really wanted plantronics 510 right one many issues methe good',0
'great product',1
'crisp clear',1
'after first charge kept going dead 12 minutes',0
'very cheap plastic creaks like old wooden floor',0
'i get absolutely horrible reception apartment phones i problem',0
'the reception generally good',1
'excellent sound battery life inconspicuous boot',1
'great bluetooth',1
'i highly recommend case',1
'worthwhile',1
'this great deal',1
'after phone got year old slowly breaking despite much care part',0
'i sorry i made purchase',0
'i bought hoping i could make bluetooth headset fit better things made impossible wear',0
'treo tmobile refused replace forced buy another phone without kind upgrade discount',0
'it horrible',0
'i think would hold securly belt',0
'this allows possibility double booking date time first',0
'they work 2 weeks break',0
'it simple use i like it',1
'its great tool entertainment communication data managementoh sure use activesync 42 optimal data synchronization results',1
'i cant use case smell disgusting',0
'not what i wanted',0
'i 2 cases would order another',1
'great phone',1
'i bought battery coupon amazon im happy purchase',1
'the internet access fine rare instance worked',0
'perfect ps3',1
'five star plus plus',1
'a good quality bargain i bought i bought cheapy big lots sounded awful people end hear me',1
'50 down drain',0
'i tried talking real loud shouting telephone gets old i still told great',0
'good  works fine',1
'for price great deal',1
'great price too',1
'if wind completely useless',0
'yes shiny front side  i love it',1
'does not work',0
'at first i thought i grtting good deal 744 i plugged phone v3c razr',0
'the reception headset excellent',1
'2 thumbs seller',1
'i verizon lg phone work well together good reception range exceeds 20 feet line sight',1
'improper description i return it',0
'1 it works  2 it comfortable',1
'battery chargelife quite long',1
'the jabra eargels fit ears well',1
'battery life',0
'i checked everywhere feature really disappointing',0
'product exactly described',1
'gets signal verizon phones wont',1
'doesnt job',0
'i would recommend it',1
'plan ordering again',1
'that said phone camera nice many cool effects play with video decent well',1
'i satisfied cell phone day one',1
'they keep getting better better this third one ive numerous palms too',1
'awkward use unreliable',0
'the shipping time also quick',1
'not good i hoped',0
'good case',1
'doesnt work',0
'really good product',1
'unfortunately work',0
'all three broke within two months use',0
'dont buy it',0
'my father v265 battery dying',0
'however ear pads come easily one week i lost one',0
'the calls drop phone comes will screen goes black worst stops ringing intermittently',0
'horrible horrible protector',0
'i like nokia either',0
'reaching bottom row uncomfortable send end keys i expect be3',0
'i bought nokia cell phone weeks ago nightmare',0
'it would take long describe bad customer service experience amazon',0
'very disappointing thing no speakerphone',0
'terrible my car accept cassette',0
'product useless since enough charging current charge 2 cellphones i planning use with',0
'its says is',0
'stay away from q',0
'used dirty',0
'very unreliable service tmobile ',0
'not good enough price',0
'i bought two neither charge',0
'it looks nice',1
'this excellent tool especially paired phones autoanswer',1
'i read others reviews i problem it',1
'these products cover important light sensor ear outlet',0
'comfortable hand',1
'just work',0
'poor reliability',0
'it works',1
'if i take picture battery drops bar starts beeping letting know dieing',0
'terrible product waste money',0
'last time buying you',0
'it waste money',0
'so far worked like charm',1
'i weeks far good',1
'but case best part is download pictures laptop using ir even send pictures laptop phone',1
'would recommend item',1
'its choice headset yearsgreat sound good volume good noise cancellation',1
'nice case feels good hands',1
'the item received counterfeit',0
'just really good so far probably best bt headset i ever had',1
'works fine',1
'i received headset good time happy it',1
'i pleased see i could replace well travled swivel holster blackberry flip',1
'my sister one also loves it',1
'good quality',1
'this far worst purchase ive made amazon',0
'excellent dualpurpose headset',1
'excellent',1
'does work listening music cingular 8125',0
'it seems completely secure holding belt keeping iphone inside',1
'the bottowm lineanother worthless cheap gimmick sprint',0
'having trouble volume',0
'the good thing fits comfortably small ears',1
'warning  do not buy',0
'i pairing iphone i could happier far',1
'when opens battery connection broken device turned off',0
'i want clip going top ear causing discomfort',0
